issue_number,title,target_labels_found,chosen_final_label,resolution_reason,html_url
138412,statefulset repliocas mismatch for a rabbitmqcluster,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/138412
138251,Kubelet restart triggers UnexpectedAdmissionError for pods using device plugins in both initContainers and containers,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/138251
135882,kube-apiserver problem,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/135882
135015,Significant increase in network traffic with Kubernetes 1.34.1,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/135015
134075,"Orphaned pod ""0008e5b2-6008-45b9-89cd-1aa60f896e24"" found, but volume paths are still present on disk",bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/134075
133884,The PodAndContainerStatsFromCRI feature doesn’t expose metrics.,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/133884
132116,Incorrect kubectl logs error when node with pod has disappeared,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/132116
131347,kubeadm init does not work,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/131347
130839,NFS mount failed after GKE upgrade me to 1.32 from 1.31,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/130839
130683,Job with no parellelism randomly creates 2 duplicate Pods instead of 1,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/130683
129683,Reduce relist operations in client-go,bug|feature,bug,conflict_resolved_priority:bug+feature,https://github.com/kubernetes/kubernetes/issues/129683
129193,"""Error syncing pod, skipping"" err=""rpc error: code = Unavailable desc = connection error: desc = \""transport: Error whil",bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/129193
129097,Namespace deletion does not trigger container lifecycle hooks,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/129097
129093,Link for cluster bootstrap is broken,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/129093
129014,About `The connection to the server localhost:8080 was refused - did you specify the right host or port?`,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/129014
129001,failed to get api resources with kubectl 1.30,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/129001
128509,The request times out in dozens of milliseconds.,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/128509
128381,"During the offline upgrade process from Kubernetes 1.22.16 to 1.25.1, the upgrade to version 1.24 proceeded normally, bu",bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/128381
128328,Master-Node Doesn't server service exposed port,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/128328
128314,Kubectl exec disconnects automatically after 5m post upgrading the k8s cluster to 1.30,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/128314
128151,"Control-plane unexpected node to ""Not Ready""",bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/128151
127991,CoreDNS not filter incorrect settings in /etc/resolv.conf,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/127991
127950,Unable to migrate to kms v2,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/127950
127900,bug(fakeclient): use fakeclient to create resource objects with GenerateName multiple times,bug|feature,bug,conflict_resolved_priority:bug+feature,https://github.com/kubernetes/kubernetes/issues/127900
127732,"Error from server (Forbidden): jobs.batch is forbidden: User ""system:node:k8s-master"" cannot list resource ""jobs"" in API",bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/127732
127729,/sig Network The InternalIP of the master node is abnormal,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/127729
127720,error: You must be logged in to the server (Unauthorized),bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/127720
127676,/sig Network The kube-flannel pod on the worker node stays in CrashLoopBackOff status.,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/127676
127657,ingress doesn't works well for namespaced scenario,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/127657
127593,Removed important check in kubeadm.,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/127593
127436,"Kubernetes 1.28.14 coredns not working, [ERROR] plugin/errors: 2 7550147287576560633.7996095784120876925. HINFO: read ud",bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/127436
127334,"is:issue is:open embed:rejected connection from #106.0.18.66:35592""(error""remoteerror :t1s:certificateembed:servername""""",bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/127334
127316,kubelet fails to start pods after upgrade to 1.31.X,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/127316
127311,windows node join to linux master kubelet failed,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/127311
127199,topologySpreadConstraints not working as expected,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/127199
127114,upgrading kernel version of master node causes apiserver keeps restarting,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/127114
127106,error: unable to upgrade connection: error dialing backend: dial tcp 127.0.0.1:25241: connect: connection refusedssh,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/127106
126778,kubectl exec to pods causes unexpected exit 0 in concurrence with jobs running,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/126778
126746,kube-proxy fails with CreateContainerConfigError when joining a 1.30.0 node to 1.30.4 cluster,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/126746
126732,K8s pod will restart indefinitely,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/126732
126598,Unable to access control plane after Kubernetes worker node reboot,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/126598
126526,allow-metric-labels can not filter metrics,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/126526
126430,Kubernetes Cert rotation,bug|feature,bug,conflict_resolved_priority:bug+feature,https://github.com/kubernetes/kubernetes/issues/126430
126378,IPVS backend active connections aren't distributed evenly,bug|question,bug,conflict_resolved_priority:bug+question,https://github.com/kubernetes/kubernetes/issues/126378
135009,Nuke option for Finalizers,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/135009
133820,How to redirect root /unknown to 404,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/133820
128665,unavailable etcd leading to unexpected pod recreation,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/128665
127924,How to Freeze a Kubernetes Namespace to Prevent Deployments?,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/127924
127110,`go get k8s.io/kubernetes/cmd/import-boss` command is pulling whole `K8s.io/kubernetes` package under the go.mod,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/127110
126232,system:kubelet-api-admin does not have permissions to issue checkpoint.,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/126232
126130,Implement a kube-proxy conntrack reconciler,bug|feature,bug,conflict_resolved_priority:bug+feature,https://github.com/kubernetes/kubernetes/issues/126130
126076,Document sinceTime for pod log API endpoint,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/126076
125844,Add Container Optimized OS version to release notes for gke releases.,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/125844
125754,Add more info into webhook to differentiate if a request is originating from custom controller or from other clients lik,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/125754
124836,disable events?,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/124836
124636,service.spec.externalIPs is unnecessarily limited (enhancement request),feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/124636
123571,Allow registration of Extension API Servers that are not Kubernetes Services,bug|feature,bug,conflict_resolved_priority:bug+feature,https://github.com/kubernetes/kubernetes/issues/123571
122430,new API to control kubelet,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/122430
122167,What do you think about Didi upgrading k8s and causing the service to be down for three days?,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/122167
122100,no need to recreate pod  when you update deployment template label,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/122100
122054,How to build kubernetes base controller which will support different env's,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/122054
121845,what lead to my apiserver overloaded?,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/121845
121558,Unable to use the value of `image` as an env variable,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/121558
120981,"Kubernetes ephemeral storage exhausted by a pod, rendering the cluster unusable",bug|feature,bug,conflict_resolved_priority:bug+feature,https://github.com/kubernetes/kubernetes/issues/120981
119797,Node resources utilisation vs pod utilisation ,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/119797
119451,PVC dataSource is immutable,bug|feature,bug,conflict_resolved_priority:bug+feature,https://github.com/kubernetes/kubernetes/issues/119451
119132,Component CLI help does not list which feature gates are relevant,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/119132
118728,Utilizing host kernel routing table in kubernetes,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/118728
