label_a,label_b,count
kind/bug,needs-triage,980
kind/support,needs-triage,923
kind/feature,needs-triage,793
lifecycle/rotten,needs-triage,693
needs-sig,needs-triage,633
needs-triage,sig/node,528
kind/support,needs-sig,418
kind/feature,lifecycle/rotten,385
kind/documentation,priority/backlog,342
kind/bug,kind/support,341
kind/bug,triage/accepted,325
kind/bug,needs-sig,325
kind/feature,sig/node,316
kind/bug,sig/node,270
kind/bug,lifecycle/rotten,249
lifecycle/rotten,sig/node,239
needs-triage,sig/scheduling,231
kind/feature,triage/accepted,227
kind/documentation,lifecycle/rotten,216
kind/documentation,sig/api-machinery,208
sig/api-machinery,triage/accepted,197
needs-triage,sig/network,192
kind/support,sig/node,192
sig/node,triage/accepted,190
kind/documentation,priority/important-soon,189
kind/bug,sig/api-machinery,177
needs-triage,sig/api-machinery,174
kind/feature,sig/scheduling,169
kind/bug,sig/network,159
kind/feature,sig/api-machinery,159
lifecycle/rotten,sig/api-machinery,147
needs-triage,sig/apps,138
kind/support,lifecycle/rotten,135
needs-triage,sig/storage,132
kind/documentation,sig/docs,130
kind/support,sig/network,110
kind/documentation,sig/node,106
kind/bug,sig/storage,97
sig/network,triage/accepted,95
needs-triage,sig/auth,93
needs-triage,triage/needs-information,92
kind/bug,kind/documentation,92
lifecycle/rotten,needs-sig,90
needs-triage,sig/cli,88
kind/documentation,needs-triage,88
lifecycle/rotten,sig/scheduling,84
lifecycle/rotten,sig/storage,83
lifecycle/rotten,sig/apps,83
priority/backlog,sig/api-machinery,82
needs-triage,sig/cluster-lifecycle,78
