rank,label,count
1,needs-triage,2524
2,kind/support,1405
3,kind/bug,1397
4,kind/feature,1041
5,kind/documentation,1000
6,lifecycle/rotten,981
7,sig/node,837
8,needs-sig,775
9,triage/accepted,661
10,sig/api-machinery,615
11,priority/backlog,386
12,sig/network,369
13,sig/scheduling,297
14,priority/important-soon,264
15,sig/storage,202
16,sig/auth,189
17,sig/apps,181
18,triage/needs-information,181
19,sig/cluster-lifecycle,177
20,sig/cli,165
21,sig/docs,158
22,lifecycle/stale,108
23,sig/release,103
24,priority/important-longterm,83
25,wg/device-management,82
26,help wanted,82
27,sig/instrumentation,77
28,priority/awaiting-more-evidence,76
29,sig/architecture,65
30,sig/testing,61
31,area/kubectl,61
32,lifecycle/frozen,54
33,sig/autoscaling,52
34,area/kubeadm,45
35,sig/security,43
36,area/security,40
37,area/usability,40
38,area/api,39
39,sig/scalability,38
40,sig/windows,37
41,sig/cloud-provider,35
42,area/kubelet,33
43,area/example,33
44,priority/critical-urgent,32
45,committee/security-response,30
46,official-cve-feed,28
47,triage/unresolved,27
48,kind/regression,24
49,kind/cleanup,24
50,sig/contributor-experience,21
51,area/code-organization,20
52,good first issue,20
53,kind/failing-test,18
54,wg/batch,17
55,area/ipvs,13
56,area/test,13
57,area/kube-proxy,13
58,sig/k8s-infra,12
59,sig/etcd,12
60,wg/api-expression,12
61,triage/duplicate,11
62,area/apiserver,11
63,area/os/coreos,11
64,wg/structured-logging,10
65,area/app-lifecycle,10
66,area/test-infra,10
67,triage/not-reproducible,9
68,area/logging,9
69,kind/flake,8
70,area/release-eng,8
71,area/platform/vagrant,8
72,area/swagger,8
73,sig/multicluster,7
74,area/custom-resources,7
75,area/build-release,7
76,release-blocker,6
77,area/provider/gcp,6
78,needs-kind,6
79,area/workload-api/deployment,6
80,area/federation,6
81,area/platform/gce,5
82,area/dns,5
83,kind/design,4
84,sig/usability,4
85,lifecycle/active,4
86,area/provider/aws,4
87,area/HA,4
88,area/os/ubuntu,4
89,area/dependency,3
90,area/conformance,3
91,area/code-generation,3
92,area/controller-manager,3
93,area/etcd,3
94,area/cloudprovider,3
95,area/e2e-test-framework,2
96,area/workload-aware,2
97,area/client-libraries,2
98,needs-priority,2
99,area/network-policy,2
100,wg/security-audit,2
101,area/admission-control,2
102,area/nodecontroller,2
103,area/system-requirement,2
104,area/monitoring,2
105,area/ecosystem,2
106,area/os/fedora,2
107,sig/service-catalog,2
108,area/introspection,2
109,area/api-validation,1
110,area/code-organization/future-dependencies,1
111,area/hw-accelerators,1
112,wg/serving,1
113,area/workload-api/job,1
114,wg/cluster-api,1
115,area/artifacts,1
116,wg/component-standard,1
117,kind/deprecation,1
118,wg/naming,1
119,area/ipv6,1
120,area/workload-api/daemonset,1
121,area/declarative-configuration,1
122,area/rkt,1
123,release-note-action-required,1
124,area/stateful-apps,1
125,area/batch,1
126,ug/big-data,1
127,area/platform/mesos,1
128,area/ui,1
129,area/upgrade,1
130,area/kubelet-api,1
131,wg/reliability,1
132,area/provider/azure,1
133,area/ingress,1
134,area/cadvisor,1
135,area/provider/vmware,1
136,sig/ui,1
