rank,label,count
1,needs-triage,2385
2,kind/bug,1397
3,kind/feature,1041
4,kind/support,1024
5,kind/documentation,1000
6,lifecycle/rotten,906
7,sig/node,791
8,needs-sig,651
9,triage/accepted,643
10,sig/api-machinery,575
11,priority/backlog,386
12,sig/network,325
13,sig/scheduling,287
14,priority/important-soon,264
15,sig/storage,181
16,sig/apps,172
17,sig/auth,162
18,sig/cli,151
19,sig/docs,151
20,sig/cluster-lifecycle,148
21,triage/needs-information,136
22,lifecycle/stale,101
23,sig/release,96
24,priority/important-longterm,83
25,wg/device-management,82
26,help wanted,81
27,priority/awaiting-more-evidence,73
28,sig/instrumentation,71
29,sig/architecture,61
30,area/kubectl,60
31,sig/testing,59
32,lifecycle/frozen,53
33,sig/autoscaling,49
34,sig/security,41
35,area/security,40
36,area/usability,40
37,area/api,39
38,sig/windows,36
39,sig/scalability,36
40,area/kubeadm,34
41,area/example,33
42,priority/critical-urgent,32
43,area/kubelet,32
44,committee/security-response,30
45,official-cve-feed,28
46,sig/cloud-provider,25
47,kind/regression,24
48,kind/cleanup,24
49,sig/contributor-experience,21
50,area/code-organization,20
51,good first issue,19
52,wg/batch,17
53,kind/failing-test,13
54,area/test,13
55,area/kube-proxy,13
56,sig/k8s-infra,12
57,area/ipvs,12
58,sig/etcd,12
59,wg/api-expression,11
60,area/os/coreos,11
61,triage/duplicate,10
62,area/apiserver,10
63,area/app-lifecycle,10
64,area/test-infra,10
65,area/logging,9
66,wg/structured-logging,9
67,kind/flake,8
68,triage/unresolved,8
69,area/release-eng,8
70,area/platform/vagrant,8
71,area/swagger,8
72,sig/multicluster,7
73,area/build-release,7
74,release-blocker,6
75,needs-kind,6
76,area/workload-api/deployment,6
77,area/federation,6
78,triage/not-reproducible,5
79,area/provider/gcp,5
80,area/custom-resources,5
81,area/platform/gce,5
82,area/dns,5
83,kind/design,4
84,lifecycle/active,4
85,area/HA,4
86,area/os/ubuntu,4
87,area/dependency,3
88,area/conformance,3
89,area/code-generation,3
90,area/controller-manager,3
91,area/etcd,3
92,area/cloudprovider,3
93,area/e2e-test-framework,2
94,area/workload-aware,2
95,area/client-libraries,2
96,needs-priority,2
97,area/network-policy,2
98,wg/security-audit,2
99,area/provider/aws,2
100,area/nodecontroller,2
101,area/system-requirement,2
102,area/monitoring,2
103,area/ecosystem,2
104,area/os/fedora,2
105,sig/service-catalog,2
106,area/introspection,2
107,area/api-validation,1
108,area/code-organization/future-dependencies,1
109,area/hw-accelerators,1
110,wg/serving,1
111,area/workload-api/job,1
112,wg/cluster-api,1
113,sig/usability,1
114,area/artifacts,1
115,wg/component-standard,1
116,kind/deprecation,1
117,wg/naming,1
118,area/admission-control,1
119,area/ipv6,1
120,area/workload-api/daemonset,1
121,area/declarative-configuration,1
122,area/rkt,1
123,release-note-action-required,1
124,area/stateful-apps,1
125,area/batch,1
126,ug/big-data,1
127,area/platform/mesos,1
128,area/ui,1
129,area/upgrade,1
130,area/kubelet-api,1
131,wg/reliability,1
132,area/provider/azure,1
133,area/ingress,1
134,area/cadvisor,1
